0.000000000000000000e+00 8.133630873098792249e-03
2.500000000000000139e-02 8.133630873098693370e-03
5.000000000000000278e-02 8.133630873098580613e-03
7.500000000000001110e-02 8.133630873098358569e-03
1.000000000000000056e-01 8.133630873098124381e-03
1.250000000000000000e-01 8.133630873097937031e-03
1.500000000000000222e-01 8.133630873097858968e-03
1.750000000000000167e-01 8.133630873097671618e-03
2.000000000000000111e-01 8.133630873097439165e-03
2.250000000000000333e-01 8.133630873097269162e-03
2.500000000000000000e-01 8.133630873097033240e-03
2.750000000000000222e-01 8.133630873096663744e-03
3.000000000000000444e-01 8.133630873096334146e-03
3.250000000000000111e-01 8.133630873096044447e-03
3.500000000000000333e-01 8.133630873095723524e-03
3.750000000000000000e-01 8.133630873095419947e-03
4.000000000000000222e-01 8.133630873095095554e-03
4.250000000000000444e-01 8.133630873094715649e-03
4.500000000000000666e-01 8.133630873094410338e-03
4.749999999999999778e-01 8.133630873094191763e-03
5.000000000000000000e-01 8.133630873093933289e-03
5.250000000000001332e-01 8.133630873093631447e-03
5.500000000000000444e-01 8.133630873093301850e-03
5.750000000000000666e-01 8.133630873092994804e-03
6.000000000000000888e-01 8.133630873092670410e-03
6.250000000000001110e-01 8.133630873092314792e-03
6.500000000000000222e-01 8.133630873091893254e-03
6.750000000000000444e-01 8.133630873091435287e-03
7.000000000000000666e-01 8.133630873091038035e-03
7.250000000000000888e-01 8.133630873090737928e-03
7.500000000000000000e-01 8.133630873090517618e-03
7.750000000000000222e-01 8.133630873090175878e-03
8.000000000000000444e-01 8.133630873089745666e-03
8.250000000000000666e-01 8.133630873089379640e-03
8.500000000000000888e-01 8.133630873089143717e-03
8.750000000000001110e-01 8.133630873088973715e-03
9.000000000000001332e-01 8.133630873088952898e-03
9.250000000000000444e-01 8.133630873088956367e-03
9.499999999999999556e-01 8.133630873089081267e-03
9.749999999999999778e-01 8.133630873089159330e-03
1.000000000000000000e+00 8.133630873089074328e-03
1.025000000000000133e+00 8.133630873089114227e-03
